brand_name,product_name,description,manufactured_by,product_reference,barcode,batch_no,mfg_date,exp_date,mrp,net_weight,website,location,category
Birla Carbon,Birla Carbon Sample Product 001,Demo carbon black product record for warehouse scanning and inventory tracking.,Birla Carbon,226587,226587,DEMO-BC-001,September 2026,N/A,N/A,25 kg,https://www.birlacarbon.com/,Warehouse POC,Carbon Black
Birla Carbon,Birla Carbon Sample Product 002,Demo carbon black product record for warehouse scanning and inventory tracking.,Birla Carbon,226588,226588,DEMO-BC-002,September 2026,N/A,N/A,10 kg,https://www.birlacarbon.com/,Warehouse POC,Carbon Black
Birla Carbon,Birla Carbon Sample Product 003,Demo carbon black product record for warehouse scanning and inventory tracking.,Birla Carbon,226589,226589,DEMO-BC-003,September 2026,N/A,N/A,70 kg,https://www.birlacarbon.com/,Warehouse POC,Carbon Black
Birla Carbon,Birla Carbon Sample Product 004,Demo carbon black product record for warehouse scanning and inventory tracking.,Birla Carbon,226590,226590,DEMO-BC-004,September 2026,N/A,N/A,64 kg,https://www.birlacarbon.com/,Warehouse POC,Carbon Black
Birla Carbon,Birla Carbon Sample Product 005,Demo carbon black product record for warehouse scanning and inventory tracking.,Birla Carbon,226591,226591,DEMO-BC-005,September 2026,N/A,N/A,91 kg,https://www.birlacarbon.com/,Warehouse POC,Carbon Black
Birla Carbon,Birla Carbon Sample Product 006,Demo carbon black product record for warehouse scanning and inventory tracking.,Birla Carbon,226592,226592,DEMO-BC-006,September 2026,N/A,N/A,5 kg,https://www.birlacarbon.com/,Warehouse POC,Specialty Carbon Black
Birla Carbon,Birla Carbon Sample Product 007,Demo specialty carbon black product for QR and barcode testing.,Birla Carbon,226593,226593,DEMO-BC-007,September 2026,N/A,N/A,50 kg,https://www.birlacarbon.com/,Warehouse POC,Specialty Carbon Black
Birla Carbon,Birla Carbon Sample Product 008,Demo product record for barcode scanner and warehouse inventory POC.,Birla Carbon,226594,226594,DEMO-BC-008,September 2026,N/A,N/A,21 kg,https://www.birlacarbon.com/,Warehouse POC,Carbon Black
Birla Carbon,Birla Carbon Sample Product 009,Demo product record for QR scanning and automated bin assignment testing.,Birla Carbon,226595,226595,DEMO-BC-009,September 2026,N/A,N/A,30 kg,https://www.birlacarbon.com/,Warehouse POC,Carbon Black
Birla Carbon,Birla Carbon Sample Product 010,Demo product record for warehouse placement workflow testing.,Birla Carbon,226596,226596,DEMO-BC-010,September 2026,N/A,N/A,45 kg,https://www.birlacarbon.com/,Warehouse POC,Carbon Black
Birla Carbon,Birla Carbon Sample Product 011,Demo product record for inventory and QR code integration testing.,Birla Carbon,226597,226597,DEMO-BC-011,September 2026,N/A,N/A,55 kg,https://www.birlacarbon.com/,Warehouse POC,Specialty Carbon Black
Birla Carbon,Birla Carbon Sample Product 012,Demo product record for forklift movement and bin tracking POC.,Birla Carbon,226598,226598,DEMO-BC-012,September 2026,N/A,N/A,60 kg,https://www.birlacarbon.com/,Warehouse POC,Carbon Black
Birla Carbon,Birla Carbon Sample Product 013,"Demo product record for scanner, inventory and warehouse analytics testing.",Birla Carbon,226599,226599,DEMO-BC-013,September 2026,N/A,N/A,15 kg,https://www.birlacarbon.com/,Warehouse POC,Specialty Carbon Black
Birla Carbon,Birla Carbon Sample Product 014,Demo product record for end-to-end QR and barcode warehouse testing.,Birla Carbon,226600,226600,DEMO-BC-014,September 2026,N/A,N/A,80 kg,https://www.birlacarbon.com/,Warehouse POC,Carbon Black
Birla Carbon,Birla Carbon Sample Product 015,Demo product record for product-to-bin mapping and inventory tracking.,Birla Carbon,226601,226601,DEMO-BC-015,September 2026,N/A,N/A,35 kg,https://www.birlacarbon.com/,Warehouse POC,Carbon Black
Birla Carbon,Birla Carbon Sample Product 016,Demo product record for live warehouse dashboard integration testing.,Birla Carbon,226602,226602,DEMO-BC-016,September 2026,N/A,N/A,42 kg,https://www.birlacarbon.com/,Warehouse POC,Specialty Carbon Black
Birla Carbon,Birla Carbon Sample Product 017,Demo product record for barcode scanning and forklift placement testing.,Birla Carbon,226603,226603,DEMO-BC-017,September 2026,N/A,N/A,75 kg,https://www.birlacarbon.com/,Warehouse POC,Carbon Black
Birla Carbon,Birla Carbon Sample Product 018,Demo product record for UWB-assisted warehouse location tracking.,Birla Carbon,226604,226604,DEMO-BC-018,September 2026,N/A,N/A,90 kg,https://www.birlacarbon.com/,Warehouse POC,Carbon Black
Birla Carbon,Birla Carbon Sample Product 019,Demo product record for warehouse QR scanning and stock movement testing.,Birla Carbon,226605,226605,DEMO-BC-019,September 2026,N/A,N/A,100 kg,https://www.birlacarbon.com/,Warehouse POC,Specialty Carbon Black
Birla Carbon,Birla Carbon Sample Product 020,Demo product record for final end-to-end warehouse management demonstration.,Birla Carbon,226606,226606,DEMO-BC-020,September 2026,N/A,N/A,65 kg,https://www.birlacarbon.com/,Warehouse POC,Carbon Black
